,details,link
"<li><a href = ""../pdf/Notifications/AP2014_NE/LIST2.pdf"" target ='_' > LIST OF NOT ELIGIBLE CANDIDATE - ASTT. PROFESSOR EXAM-2014 : LIST2 </li>",LIST OF NOT ELIGIBLE CANDIDATE - ASTT. PROFESSOR EXAM-2014 : LIST2 ,../pdf/Notifications/AP2014_NE/LIST2.pdf
"<li><a href = ""../pdf/Notifications/AP2014_NE/LIST3.pdf"" target ='_' > LIST OF NOT ELIGIBLE CANDIDATE - ASTT. PROFESSOR EXAM-2014 : LIST3</li>",LIST OF NOT ELIGIBLE CANDIDATE - ASTT. PROFESSOR EXAM-2014 : LIST3,../pdf/Notifications/AP2014_NE/LIST3.pdf
"<li><a href = ""../pdf/Notifications/AP2014_NE/LIST4.pdf"" target ='_' > LIST OF NOT ELIGIBLE CANDIDATE - ASTT. PROFESSOR EXAM-2014 : LIST4 </li>",LIST OF NOT ELIGIBLE CANDIDATE - ASTT. PROFESSOR EXAM-2014 : LIST4 ,../pdf/Notifications/AP2014_NE/LIST4.pdf
"<li><a href = ""../pdf/Notifications/Int_Sch_CJ2015.pdf"" target ='_' > INTERVIEW SCHEDULE -VYAVHAAR NYAYADHISH (CIVIL JUDGE) EXAM-2015 </li>",INTERVIEW SCHEDULE -VYAVHAAR NYAYADHISH (CIVIL JUDGE) EXAM-2015 ,../pdf/Notifications/Int_Sch_CJ2015.pdf
"<li><a href = ""../pdf/Notifications/SES2016_EXTENTION.pdf"" target ='_' > NOTIFICATION ABOUT EXAMINATION DATE EXTENTED- STATE ENGINEERING SERVICE EXAM-2016 </li>",NOTIFICATION ABOUT EXAMINATION DATE EXTENTED- STATE ENGINEERING SERVICE EXAM-2016 ,../pdf/Notifications/SES2016_EXTENTION.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_APL2015.pdf"" target ='_' > INTERVIEW SCHEDULE -ASSISTANT PROFESSOR (ENGG. COLLEGE) & LECTURER (POLYTECHNIC INST.) EXAM-2015 </li>",INTERVIEW SCHEDULE -ASSISTANT PROFESSOR (ENGG. COLLEGE) & LECTURER (POLYTECHNIC INST.) EXAM-2015 ,../pdf/Notifications/INT_SCH_APL2015.pdf
"<li><a href = ""../pdf/Notifications/CGFSE2016_ABOUTAC.pdf"" target ='_' > NOTIFICATION ABOUT ADMIT CARD CG FOREST SERVICE (COMBINED) EXAM-2016 </li>",NOTIFICATION ABOUT ADMIT CARD CG FOREST SERVICE (COMBINED) EXAM-2016 ,../pdf/Notifications/CGFSE2016_ABOUTAC.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_MI_BACK2016.pdf"" target ='_' > INTERVIEW SCHEDULE -MINING INSPECTOR (BACKLOG) EXAM-2016 </li>",INTERVIEW SCHEDULE -MINING INSPECTOR (BACKLOG) EXAM-2016 ,../pdf/Notifications/INT_SCH_MI_BACK2016.pdf
"<li><a href = ""../pdf/Notifications/CJM2015_ADMITCARD.pdf"" target ='_' > NOTIFICATION ABOUT ADMIT CARD CIVIL JUDGE (MAINS) EXAM-2015 </li>",NOTIFICATION ABOUT ADMIT CARD CIVIL JUDGE (MAINS) EXAM-2015 ,../pdf/Notifications/CJM2015_ADMITCARD.pdf
"<li><a href = ""../pdf/Notifications/SUBS_FOREST2016.pdf"" target ='_' > NOTIFICATION ABOUT SUBSCRIBER IN CG FOREST SERVICE (COMBINED) EXAM-2016 </li>",NOTIFICATION ABOUT SUBSCRIBER IN CG FOREST SERVICE (COMBINED) EXAM-2016 ,../pdf/Notifications/SUBS_FOREST2016.pdf
"<li><a href = ""../pdf/Notifications/ABOUT_SUBS_CJM2015.pdf"" target ='_' > NOTIFICATION ABOUT SUBSCRIBER IN VYAVHAAR NYAYADHISH (CIVIL JUDGE) MAINS EXAM-2015 </li>",NOTIFICATION ABOUT SUBSCRIBER IN VYAVHAAR NYAYADHISH (CIVIL JUDGE) MAINS EXAM-2015 ,../pdf/Notifications/ABOUT_SUBS_CJM2015.pdf
"<li><a href = ""../pdf/Notifications/CJM2015-NOTIFICATION.pdf"" target ='_' > NOTIFICATION FOR VYAVHAAR NYAYADHISH (CIVIL JUDGE) MAINS EXAM-2015 </li>",NOTIFICATION FOR VYAVHAAR NYAYADHISH (CIVIL JUDGE) MAINS EXAM-2015 ,../pdf/Notifications/CJM2015-NOTIFICATION.pdf
"<li><a href = ""../pdf/Notifications/Suchana_AP2014.pdf"" target ='_' > IMPORTANT NOTIFICATION -ASSISTANT PROFESSOR EXAM-2014 </li>",IMPORTANT NOTIFICATION -ASSISTANT PROFESSOR EXAM-2014 ,../pdf/Notifications/Suchana_AP2014.pdf
"<li><a href = ""../pdf/Notifications/EXAM_SCHEDULE_CJM2015.pdf"" target ='_' > EXAMINATION SCHEDULE -VYAVHAAR NYAYADHISH (CIVIL JUDGE) MAINS EXAM-2015 </li>",EXAMINATION SCHEDULE -VYAVHAAR NYAYADHISH (CIVIL JUDGE) MAINS EXAM-2015 ,../pdf/Notifications/EXAM_SCHEDULE_CJM2015.pdf
"<li><a href = ""../pdf/Notifications/EXAM_SCHEDULE_CGFSE2016.pdf"" target ='_' > EXAMINATION SCHEDULE -CG FOREST SERVICE EXAM-2016 </li>",EXAMINATION SCHEDULE -CG FOREST SERVICE EXAM-2016 ,../pdf/Notifications/EXAM_SCHEDULE_CGFSE2016.pdf
"<li><a href = ""../pdf/Notifications/AMEND_Exam_Sch_Medical.pdf"" target ='_' > AMENDED EXAM SCHEDULE- VARIOUS POST ADVERTISED FOR HFW DEPT.(ADVT. NO- 05/2014/EXAM/17/04/2014) , VARIOUS POST ADVERTISED FOR HFW DEPT.(ADVT. NO- 09/2014/EXAM/25/07/2014) & DENTAL SURGEON (ADVT. NO- 10/2015/EXAM/04/12/2015)</li>","AMENDED EXAM SCHEDULE- VARIOUS POST ADVERTISED FOR HFW DEPT.(ADVT. NO- 05/2014/EXAM/17/04/2014) , VARIOUS POST ADVERTISED FOR HFW DEPT.(ADVT. NO- 09/2014/EXAM/25/07/2014) & DENTAL SURGEON (ADVT. NO- 10/2015/EXAM/04/12/2015)",../pdf/Notifications/AMEND_Exam_Sch_Medical.pdf
"<li><a href = ""../pdf/Notifications/Int_Sch_SO2015.pdf"" target ='_' > INTERVIEW SCHEDULE -SCIENTIFIC OFFICER EXAM-2015 </li>",INTERVIEW SCHEDULE -SCIENTIFIC OFFICER EXAM-2015 ,../pdf/Notifications/Int_Sch_SO2015.pdf
"<li><a href = ""../pdf/Notifications/Time_Table_SSME2015.pdf"" target ='_' > EXAMINATION SCHEDULE -STATE SERVICE (MAINS) EXAM-2015 </li>",EXAMINATION SCHEDULE -STATE SERVICE (MAINS) EXAM-2015 ,../pdf/Notifications/Time_Table_SSME2015.pdf
"<li><a href = ""../pdf/Notifications/Int_sch_VAS2015.pdf"" target ='_' > INTERVIEW SCHEDULE -VETERINARY ASSISTANT SURGEON-2015 </li>",INTERVIEW SCHEDULE -VETERINARY ASSISTANT SURGEON-2015 ,../pdf/Notifications/Int_sch_VAS2015.pdf
"<li><a href = ""../pdf/Notifications/MAINS15_EXT.pdf"" target ='_' > NOTIFICATION-STATE SERICE (MAINS) EXAM-2015:Extended Date for Online Application is from 8th June 2016 (12:00 Noon) to 9th June 2016 (11:59 AM) </li>",NOTIFICATION-STATE SERICE (MAINS) EXAM-2015:Extended Date for Online Application is from 8th June 2016 (12:00 Noon) to 9th June 2016 (11:59 AM) ,../pdf/Notifications/MAINS15_EXT.pdf
"<li><a href = ""../pdf/Notifications/SSME2015_About_SUBS.pdf"" target ='_' > NOTIFICATION-STATE SERICE (MAINS) EXAM-2015: ABOUT SUBSCRIBER </li>",NOTIFICATION-STATE SERICE (MAINS) EXAM-2015: ABOUT SUBSCRIBER ,../pdf/Notifications/SSME2015_About_SUBS.pdf
"<li><a href = ""../pdf/Notifications/Exam_Sch_Medical.pdf"" target ='_' > EXAM SCHEDULE- VARIOUS POST ADVERTISED FOR HFW DEPT.(ADVT. NO- 05/2014/EXAM/17/04/2014) , VARIOUS POST ADVERTISED FOR HFW DEPT.(ADVT. NO- 09/2014/EXAM/25/07/2014) & DENTAL SURGEON (ADVT. NO- 10/2015/EXAM/04/12/2015)</li>","EXAM SCHEDULE- VARIOUS POST ADVERTISED FOR HFW DEPT.(ADVT. NO- 05/2014/EXAM/17/04/2014) , VARIOUS POST ADVERTISED FOR HFW DEPT.(ADVT. NO- 09/2014/EXAM/25/07/2014) & DENTAL SURGEON (ADVT. NO- 10/2015/EXAM/04/12/2015)",../pdf/Notifications/Exam_Sch_Medical.pdf
"<li><a href = ""../pdf/Notifications/EXAM_SCH_DTE.pdf"" target ='_' > EXAM SCHEDULE-VARIOUS POST ADVERTISED FOR ASISTANT PROFESSOR (ENGG. COLLEGE), LECTURER (POLYTECHNIC), TRAINING AND PLACEMENT OFFICER, ASSISTANT WORKSHOP SUPERINTENDENT </li>","EXAM SCHEDULE-VARIOUS POST ADVERTISED FOR ASISTANT PROFESSOR (ENGG. COLLEGE), LECTURER (POLYTECHNIC), TRAINING AND PLACEMENT OFFICER, ASSISTANT WORKSHOP SUPERINTENDENT ",../pdf/Notifications/EXAM_SCH_DTE.pdf
"<li><a href = ""../pdf/Notifications/AP2014_About_AC.pdf"" target ='_' > NOTIFICATION-ASSISTANT PROFESSOR EXAM-2014: ABOUT ADMIT CARD & SUBSCRIBER </li>",NOTIFICATION-ASSISTANT PROFESSOR EXAM-2014: ABOUT ADMIT CARD & SUBSCRIBER ,../pdf/Notifications/AP2014_About_AC.pdf
"<li><a href = ""../pdf/Notifications/SSEMains2015.pdf"" target ='_' > NOTIFICATION FOR STATE SERVICE SERVICE (MAINS) EXAM-2015 </li>",NOTIFICATION FOR STATE SERVICE SERVICE (MAINS) EXAM-2015 ,../pdf/Notifications/SSEMains2015.pdf
"<li><a href = ""../pdf/Notifications/IMP_NOTI_APL2015.pdf"" target ='_' > NOTIFICATION-ASSISTANT PROFESSOR (ENGG. COLLEGE) & LECTURER (POLYTECHNIC) EXAM-2015: ABOUT ADMIT CARD & SUBSCRIBER </li>",NOTIFICATION-ASSISTANT PROFESSOR (ENGG. COLLEGE) & LECTURER (POLYTECHNIC) EXAM-2015: ABOUT ADMIT CARD & SUBSCRIBER ,../pdf/Notifications/IMP_NOTI_APL2015.pdf
"<li><a href = ""../pdf/Notifications/Exam_Sch_APHE2014.pdf"" target ='_' > IMPORTANT NOTIFICATION REGARDING ASSISTANT PROFESSOR (HIGHER EDUCATION DEPT.) EXAM-2014 [EXAM DATE : 20 & 21 MAY 2016]</li>",IMPORTANT NOTIFICATION REGARDING ASSISTANT PROFESSOR (HIGHER EDUCATION DEPT.) EXAM-2014 [EXAM DATE : 20 & 21 MAY 2016],../pdf/Notifications/Exam_Sch_APHE2014.pdf
"<li><a href = ""../pdf/Notifications/IMP_Noti_CJ2015.pdf"" target ='_' > NOTIFICATION- CIVIL JUDGE EXAM-2015: ABOUT ADMIT CARD & SUBSCRIBER </li>",NOTIFICATION- CIVIL JUDGE EXAM-2015: ABOUT ADMIT CARD & SUBSCRIBER ,../pdf/Notifications/IMP_Noti_CJ2015.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_ADV_13_2015.pdf"" target ='_' > INTERVIEW SCHEDULE -VARIOUS POSTS ADVERTISED FOR DEPARTMENT OF TECHNICAL EDUCATIION (VIDE ADVT NO- 13/2015/EXAM DATED-17/12/2015) || DETAILS </li>",INTERVIEW SCHEDULE -VARIOUS POSTS ADVERTISED FOR DEPARTMENT OF TECHNICAL EDUCATIION (VIDE ADVT NO- 13/2015/EXAM DATED-17/12/2015) || DETAILS ,../pdf/Notifications/INT_SCH_ADV_13_2015.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_ADV_13_2015_D.pdf"" target ='_' > DETAILS</li>",DETAILS,../pdf/Notifications/INT_SCH_ADV_13_2015_D.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_VCK2015.pdf"" target ='_' > INTERVIEW SCHEDULE -VISHESHGYA CHIKITSHAK -2015 </li>",INTERVIEW SCHEDULE -VISHESHGYA CHIKITSHAK -2015 ,../pdf/Notifications/INT_SCH_VCK2015.pdf
"<li><a href = ""../pdf/Notifications/Exam_Sch_APL15.pdf"" target ='_' > EXAM SCHEDULE- ASSISTANT PROFESSOR (ENGG. COLLEGE) & LECTURER (POLYTECHNIC INST.) EXAM-2015 </li>",EXAM SCHEDULE- ASSISTANT PROFESSOR (ENGG. COLLEGE) & LECTURER (POLYTECHNIC INST.) EXAM-2015 ,../pdf/Notifications/Exam_Sch_APL15.pdf
"<li><a href = ""../pdf/Notifications/CJ15_Exam_sch.pdf"" target ='_' > AMENDED EXAM SCHEDULE- CIVIL JUDGE EXAM-2015 </li>",AMENDED EXAM SCHEDULE- CIVIL JUDGE EXAM-2015 ,../pdf/Notifications/CJ15_Exam_sch.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_SSE2014.pdf"" target ='_' > INTERVIEW SCHEDULE -STATE SERVICE EXAM-2014 </li>",INTERVIEW SCHEDULE -STATE SERVICE EXAM-2014 ,../pdf/Notifications/INT_SCH_SSE2014.pdf
"<li><a href = ""../pdf/Notifications/AP2014_EQ_2.pdf"" target ='_' > IMPORTANT NOTIFICATION- ASSISTANT PROFESSOR EXAM-2014 [EDUCATIONAL QUALIFICATION RELATED] (16, 17 & 18 March 2016) </li>","IMPORTANT NOTIFICATION- ASSISTANT PROFESSOR EXAM-2014 [EDUCATIONAL QUALIFICATION RELATED] (16, 17 & 18 March 2016) ",../pdf/Notifications/AP2014_EQ_2.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_HFW09_3.pdf"" target ='_' > INTERVIEW SCHEDULE -VARIOUS POST ADVERTISED FOR HFW DEPT. (VIDE ADVT NO-09/2014/EXAM/ DATED-25/07/2014)</li>",INTERVIEW SCHEDULE -VARIOUS POST ADVERTISED FOR HFW DEPT. (VIDE ADVT NO-09/2014/EXAM/ DATED-25/07/2014),../pdf/Notifications/INT_SCH_HFW09_3.pdf
"<li><a href = ""../pdf/Notifications/HFW2014_EQ.pdf"" target ='_' > IMPORTANT NOTIFICATION- VARIOUS POST ADVERTISED FOR HFW DEPT. (VIDE ADVT NO-09/2014/EXAM/ DATED-25/07/2014) [EDUCATIONAL QUALIFICATION RELATED]</li>",IMPORTANT NOTIFICATION- VARIOUS POST ADVERTISED FOR HFW DEPT. (VIDE ADVT NO-09/2014/EXAM/ DATED-25/07/2014) [EDUCATIONAL QUALIFICATION RELATED],../pdf/Notifications/HFW2014_EQ.pdf
"<li><a href = ""../pdf/Notifications/CGGS.pdf"" target ='_' > SYLLABUS OF GENERAL KNOWLEDGE OF CHHATTISGARH (SYLLABUS IS COMMON FOR ADVT. NO- 05/2014/EXAM/DATED-17/04/2014, ADVT. NO-09/2014/EXAM/DATED-25/07/2014 & ADVT. NO-10/2015/EXAM/DATED-04/12/2015)</li>","SYLLABUS OF GENERAL KNOWLEDGE OF CHHATTISGARH (SYLLABUS IS COMMON FOR ADVT. NO- 05/2014/EXAM/DATED-17/04/2014, ADVT. NO-09/2014/EXAM/DATED-25/07/2014 & ADVT. NO-10/2015/EXAM/DATED-04/12/2015)",../pdf/Notifications/CGGS.pdf
"<li><a href = ""../pdf/Notifications/Exam_Scheme_0905.pdf"" target ='_' > EXAM SCHEME  FOR WRITTEN EXAM -</li>",EXAM SCHEME  FOR WRITTEN EXAM -,../pdf/Notifications/Exam_Scheme_0905.pdf
"<li><a href = ""../pdf/Notifications/AP_Bioinformatics.pdf"" target ='_' > 1.  SYLLABUS FOR WRITTEN EXAM ASSISTANT PROFESSOR BIO INFORMATICS </li>",1.  SYLLABUS FOR WRITTEN EXAM ASSISTANT PROFESSOR BIO INFORMATICS ,../pdf/Notifications/AP_Bioinformatics.pdf
"<li><a href = ""../pdf/Notifications/clinical_and_child_psychology.pdf"" target ='_' > 2. SYLLABUS FOR WRITTEN EXAM CLINICAL PSYCHOLOGIST AND CHILD PSYCHOLOGIST </li>",2. SYLLABUS FOR WRITTEN EXAM CLINICAL PSYCHOLOGIST AND CHILD PSYCHOLOGIST ,../pdf/Notifications/clinical_and_child_psychology.pdf
"<li><a href = ""../pdf/Notifications/PTI_Sport%20Officer.pdf"" target ='_' > 3. SYLLABUS FOR WRITTEN EXAM  PTI/ SPORT OFFICER </li>",3. SYLLABUS FOR WRITTEN EXAM  PTI/ SPORT OFFICER ,../pdf/Notifications/PTI_Sport%20Officer.pdf
"<li><a href = ""../pdf/Notifications/Scientific_Officer_Toxicology.pdf"" target ='_' > 4. SYLLABUS FOR WRITTEN EXAM SCIENTIFIC OFFICER TOXICOLOGY </li>",4. SYLLABUS FOR WRITTEN EXAM SCIENTIFIC OFFICER TOXICOLOGY ,../pdf/Notifications/Scientific_Officer_Toxicology.pdf
"<li><a href = ""../pdf/Notifications/SP_Pathologist_Audologist_Grade-01.pdf"" target ='_' > 5. SYLLABUS FOR WRITTEN EXAM SPEECH PATHOLOGIST/ AUDOLOGIST GRADE -01 </li>",5. SYLLABUS FOR WRITTEN EXAM SPEECH PATHOLOGIST/ AUDOLOGIST GRADE -01 ,../pdf/Notifications/SP_Pathologist_Audologist_Grade-01.pdf
"<li><a href = ""../pdf/Notifications/Speech_Pathologist_Audiology_grade-2_SP_TH.pdf"" target ='_' > 6. SYLLABUS FOR WRITTEN EXAM SPEECH PATHOLOGIST /AUDIOLOGIST GRADE-2 & SPEECH THERAPIST </li>",6. SYLLABUS FOR WRITTEN EXAM SPEECH PATHOLOGIST /AUDIOLOGIST GRADE-2 & SPEECH THERAPIST ,../pdf/Notifications/Speech_Pathologist_Audiology_grade-2_SP_TH.pdf
"<li><a href = ""../pdf/Notifications/AP_Biotech%20&%20JSO_Biochemistry.pdf"" target ='_' > 7. SYLLABUS FOR WRITTEN EXAM ASSISTANT PROFESSOR BIOTECHNOLOGY & JUNIOR SCIENTIFIC OFFICER </li>",7. SYLLABUS FOR WRITTEN EXAM ASSISTANT PROFESSOR BIOTECHNOLOGY & JUNIOR SCIENTIFIC OFFICER ,../pdf/Notifications/AP_Biotech%20&%20JSO_Biochemistry.pdf
"<li><a href = ""../pdf/Notifications/Exam_Scheme_0905.pdf"" target ='_' > EXAM SCHEME FOR WRITTEN EXAM -</li>",EXAM SCHEME FOR WRITTEN EXAM -,../pdf/Notifications/Exam_Scheme_0905.pdf
"<li><a href = ""../pdf/Notifications/Syllabus_BDS_09.pdf"" target ='_' > 1. SYLLABUS FOR WRITTEN EXAM RESIDENT & DENTAL SURGEON (DENTAL COLLEGE)</li>",1. SYLLABUS FOR WRITTEN EXAM RESIDENT & DENTAL SURGEON (DENTAL COLLEGE),../pdf/Notifications/Syllabus_BDS_09.pdf
"<li><a href = ""../pdf/Notifications/1.pdf"" target ='_' > 2. SYLLABUS FOR WRITTEN EXAM DEMONSTRATOR-(NURSING COLLEGE) # 1&2</li>",2. SYLLABUS FOR WRITTEN EXAM DEMONSTRATOR-(NURSING COLLEGE) # 1&2,../pdf/Notifications/1.pdf
"<li><a href = ""../pdf/Notifications/3.pdf"" target ='_' > 2. SYLLABUS FOR WRITTEN EXAM DEMONSTRATOR-(NURSING COLLEGE) # 3</li>",2. SYLLABUS FOR WRITTEN EXAM DEMONSTRATOR-(NURSING COLLEGE) # 3,../pdf/Notifications/3.pdf
"<li><a href = ""../pdf/Notifications/4.pdf"" target ='_' > 2. SYLLABUS FOR WRITTEN EXAM DEMONSTRATOR-(NURSING COLLEGE) # 4</li>",2. SYLLABUS FOR WRITTEN EXAM DEMONSTRATOR-(NURSING COLLEGE) # 4,../pdf/Notifications/4.pdf
"<li><a href = ""../pdf/Notifications/AP_Phsiotherapy.pdf"" target ='_' > 3. SYLLABUS FOR WRITTEN EXAM ASSISTANT PROFESSOR-PHSIOTHERAPY </li>",3. SYLLABUS FOR WRITTEN EXAM ASSISTANT PROFESSOR-PHSIOTHERAPY ,../pdf/Notifications/AP_Phsiotherapy.pdf
"<li><a href = ""../pdf/Notifications/Demonstrator_Physiotherapy.pdf"" target ='_' > 4. SYLLABUS FOR WRITTEN EXAM DEMONSTRATOR PHYSIOTHERAPY </li>",4. SYLLABUS FOR WRITTEN EXAM DEMONSTRATOR PHYSIOTHERAPY ,../pdf/Notifications/Demonstrator_Physiotherapy.pdf
"<li><a href = ""../pdf/Notifications/Syllabus_BDS_09.pdf"" target ='_' > 5. DENTAL SURGEON (VIDE ADVT. NO- 10/2015/EXAM /DATED-04/12/2015) </li>",5. DENTAL SURGEON (VIDE ADVT. NO- 10/2015/EXAM /DATED-04/12/2015) ,../pdf/Notifications/Syllabus_BDS_09.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_PSY2015.pdf"" target ='_' > INTERVIEW SCHEDULE -PSYCHIATRISTS-2015</li>",INTERVIEW SCHEDULE -PSYCHIATRISTS-2015,../pdf/Notifications/INT_SCH_PSY2015.pdf
"<li><a href = ""../pdf/Notifications/Noti_ARTO_Adv_Cancelation.pdf"" target ='_' > NOTIFICATION- ARTO & TSI-2014: CANCELLATION OF ADVERTISMENT </li>",NOTIFICATION- ARTO & TSI-2014: CANCELLATION OF ADVERTISMENT ,../pdf/Notifications/Noti_ARTO_Adv_Cancelation.pdf
"<li><a href = ""../pdf/Notifications/About_SSPE2015_Subs.pdf"" target ='_' > NOTIFICATION- STATE SERVICE (PRELIMS) EXAM-2015: ABOUT ADMIT CARD & SUBSCRIBER </li>",NOTIFICATION- STATE SERVICE (PRELIMS) EXAM-2015: ABOUT ADMIT CARD & SUBSCRIBER ,../pdf/Notifications/About_SSPE2015_Subs.pdf
"<li><a href = ""../pdf/Notifications/About_SO2015_Subs.pdf"" target ='_' > NOTIFICATION- SCIENTIFIC OFFICER EXAM-2015: ABOUT ADMIT CARD & SUBSCRIBER </li>",NOTIFICATION- SCIENTIFIC OFFICER EXAM-2015: ABOUT ADMIT CARD & SUBSCRIBER ,../pdf/Notifications/About_SO2015_Subs.pdf
"<li><a href = ""../pdf/Notifications/Interview_Sch_ADH_BI.pdf"" target ='_' > INTERVIEW SCHEDULE ASSISTANT DIRECTOR HORTICULTURE EXAM-2014, BOILER INSPECTOR EXAM-2015</li>","INTERVIEW SCHEDULE ASSISTANT DIRECTOR HORTICULTURE EXAM-2014, BOILER INSPECTOR EXAM-2015",../pdf/Notifications/Interview_Sch_ADH_BI.pdf
"<li><a href = ""../pdf/Notifications/AP2014_EQ.pdf"" target ='_' > IMPORTANT NOTIFICATION- ASSISTANT PROFESSOR EXAM-2014 [EDUCATIONAL QUALIFICATION RELATED]</li>",IMPORTANT NOTIFICATION- ASSISTANT PROFESSOR EXAM-2014 [EDUCATIONAL QUALIFICATION RELATED],../pdf/Notifications/AP2014_EQ.pdf
"<li><a href = ""../pdf/Notifications/Exam_Sch_SO2015.pdf"" target ='_' > EXAM SCHEDULE- SCIENTIFIC OFFICER EXAM-2015 [EXAM DATE : 14-FEB-2016]</li>",EXAM SCHEDULE- SCIENTIFIC OFFICER EXAM-2015 [EXAM DATE : 14-FEB-2016],../pdf/Notifications/Exam_Sch_SO2015.pdf
"<li><a href = ""../pdf/Notifications/Int_Sch_RDA2014_NEW.pdf"" target ='_' > INTERVIEW SCHEDULE DEPUTY REGISTRAR, ASSISTANT REGISTRAR EXAM-2014</li>","INTERVIEW SCHEDULE DEPUTY REGISTRAR, ASSISTANT REGISTRAR EXAM-2014",../pdf/Notifications/Int_Sch_RDA2014_NEW.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_SES_2014.pdf"" target ='_' > INTERVIEW SCHEDULE -STATE ENGINEERING SERVICE EXAM-2014</li>",INTERVIEW SCHEDULE -STATE ENGINEERING SERVICE EXAM-2014,../pdf/Notifications/INT_SCH_SES_2014.pdf
"<li><a href = ""../pdf/Notifications/Int_SCh_LR_VA_2015.pdf"" target ='_' > INTERVIEW SCHEDULE -READER, LECTURER & VISHESHGYA AYURVEDA -2015</li>","INTERVIEW SCHEDULE -READER, LECTURER & VISHESHGYA AYURVEDA -2015",../pdf/Notifications/Int_SCh_LR_VA_2015.pdf
"<li><a href = ""../pdf/Notifications/LR_2015_Document_varification.pdf"" target ='_' > NOTIFICATION- DOCUMENT VARIFICATION (FROM 02/12/2015 TO 07/12/2015) LECTURER & READER </li>",NOTIFICATION- DOCUMENT VARIFICATION (FROM 02/12/2015 TO 07/12/2015) LECTURER & READER ,../pdf/Notifications/LR_2015_Document_varification.pdf
"<li><a href = ""../pdf/Notifications/SSME2014_Subs.pdf"" target ='_' > NOTIFICATION- STATE SERVICE (MAINS) EXAM 2014 : ABOUT SUBSCRIBER</li>",NOTIFICATION- STATE SERVICE (MAINS) EXAM 2014 : ABOUT SUBSCRIBER,../pdf/Notifications/SSME2014_Subs.pdf
"<li><a href = ""../pdf/Notifications/SSME2014_Admit_Card.pdf"" target ='_' > ABOUT ADMIT CARD</li>",ABOUT ADMIT CARD,../pdf/Notifications/SSME2014_Admit_Card.pdf
"<li><a href = ""../pdf/Notifications/INT_SCH_SSE13.pdf"" target ='_' > INTERVIEW SCHEDULE -STATE SERVICE EXAM-2013 </li>",INTERVIEW SCHEDULE -STATE SERVICE EXAM-2013 ,../pdf/Notifications/INT_SCH_SSE13.pdf
"<li><a href = ""../pdf/Notifications/DUPLI_SSE2013_INT.pdf"" target ='_' > ABOUT DUPLICATE INTERVIEW CALL LETTER </li>",ABOUT DUPLICATE INTERVIEW CALL LETTER ,../pdf/Notifications/DUPLI_SSE2013_INT.pdf
"<li><a href = ""../pdf/Notifications/SSEmains2014.pdf"" target ='_' > NOTIFICATION FOR STATE SERVICE SERVICE (MAINS) EXAM-2014 </li>",NOTIFICATION FOR STATE SERVICE SERVICE (MAINS) EXAM-2014 ,../pdf/Notifications/SSEmains2014.pdf
"<li><a href = ""../pdf/Notifications/SN_SSEmains2014.pdf"" target ='_' > SHORT NOTICE </li>",SHORT NOTICE ,../pdf/Notifications/SN_SSEmains2014.pdf
"<li><a href = ""../pdf/Notifications/PN_SSME2014.pdf"" target ='_' > PRESS NOTIFICATION</li>",PRESS NOTIFICATION,../pdf/Notifications/PN_SSME2014.pdf
"<li><a href = ""../pdf/Notifications/EDATE_EXTEND_SSME2014.pdf"" target ='_' > EXAM DATE EXTENDED (5,6,7 & 8 NOV 2015)</li>","EXAM DATE EXTENDED (5,6,7 & 8 NOV 2015)",../pdf/Notifications/EDATE_EXTEND_SSME2014.pdf
"<li><a href = ""../pdf/Notifications/SSME2014_Relive.pdf"" target ='_' > Extended Date for Online Application{09-12 OCT 2015} </li>",Extended Date for Online Application{09-12 OCT 2015} ,../pdf/Notifications/SSME2014_Relive.pdf
"<li><a href = ""../pdf/Notifications/ADH_BI_about_Admit_card.pdf"" target ='_' > NOTIFICATION- BOILER INSPECTOR EXAM 2015 & ASSISTANT DIRECTOR, HORTICULTURE-2014: ABOUT ADMIT CARD -(NEW) </li>","NOTIFICATION- BOILER INSPECTOR EXAM 2015 & ASSISTANT DIRECTOR, HORTICULTURE-2014: ABOUT ADMIT CARD -(NEW) ",../pdf/Notifications/ADH_BI_about_Admit_card.pdf
"<li><a href = ""../pdf/Notifications/Int_SCH_HFW09.pdf"" target ='_' > INTERVIEW SCHEDULE-VARIOUS POSTS IN HFW DEPT. - ADVERTISEMENT NO-09/2014/EXAM/ DATED- 25/07/2014 [10-14 August 2015]</li>",INTERVIEW SCHEDULE-VARIOUS POSTS IN HFW DEPT. - ADVERTISEMENT NO-09/2014/EXAM/ DATED- 25/07/2014 [10-14 August 2015],../pdf/Notifications/Int_SCH_HFW09.pdf
"<li><a href = ""../pdf/Notifications/Int_SCH_HFW09_2.pdf"" target ='_' >  [17 August- 04 September 2015] </li>", [17 August- 04 September 2015] ,../pdf/Notifications/Int_SCH_HFW09_2.pdf
